Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1621754943,2021-05-23T07:29:03Z,RYR1TZ,"37.943665,23.962408",125,145,37
1621754953,2021-05-23T07:29:13Z,RYR1TZ,"37.949295,23.967785",325,161,37
1621754966,2021-05-23T07:29:26Z,RYR1TZ,"37.956924,23.975273",900,156,37
1621754978,2021-05-23T07:29:38Z,RYR1TZ,"37.964096,23.982319",1425,156,37
1621754988,2021-05-23T07:29:48Z,RYR1TZ,"37.96994,23.987888",1775,160,37
1621754995,2021-05-23T07:29:55Z,RYR1TZ,"37.974056,23.991812",2025,160,36
1621755001,2021-05-23T07:30:01Z,RYR1TZ,"37.977676,23.995134",2250,159,36
1621755008,2021-05-23T07:30:08Z,RYR1TZ,"37.98143,23.998699",2475,159,36
1621755020,2021-05-23T07:30:20Z,RYR1TZ,"37.98914,24.005962",2900,162,36
1621755030,2021-05-23T07:30:30Z,RYR1TZ,"37.99498,24.011438",3200,165,36
1621755037,2021-05-23T07:30:37Z,RYR1TZ,"37.999054,24.015295",3425,165,37
1621755043,2021-05-23T07:30:43Z,RYR1TZ,"38.002918,24.01898",3600,169,37
1621755050,2021-05-23T07:30:50Z,RYR1TZ,"38.007568,24.023418",3750,179,36
1621755057,2021-05-23T07:30:57Z,RYR1TZ,"38.012463,24.027996",3850,189,36
1621755063,2021-05-23T07:31:03Z,RYR1TZ,"38.016792,24.032116",3950,199,37
1621755071,2021-05-23T07:31:11Z,RYR1TZ,"38.022537,24.03756",4125,207,37
1621755077,2021-05-23T07:31:17Z,RYR1TZ,"38.02792,24.042326",4350,211,33
1621755085,2021-05-23T07:31:25Z,RYR1TZ,"38.034164,24.047377",4575,216,32
1621755090,2021-05-23T07:31:30Z,RYR1TZ,"38.038952,24.051163",4825,217,32
1621755095,2021-05-23T07:31:35Z,RYR1TZ,"38.042496,24.053982",5000,219,31
1621755112,2021-05-23T07:31:52Z,RYR1TZ,"38.058178,24.066387",5425,246,32
1621755123,2021-05-23T07:32:03Z,RYR1TZ,"38.069687,24.075603",5875,261,32
1621755133,2021-05-23T07:32:13Z,RYR1TZ,"38.080536,24.084311",6275,273,32
1621755144,2021-05-23T07:32:24Z,RYR1TZ,"38.092438,24.093836",6950,276,32
1621755159,2021-05-23T07:32:39Z,RYR1TZ,"38.107616,24.106033",7850,276,32
1621755171,2021-05-23T07:32:51Z,RYR1TZ,"38.120697,24.116543",8600,277,32
1621755183,2021-05-23T07:33:03Z,RYR1TZ,"38.134476,24.12747",9300,281,32
1621755193,2021-05-23T07:33:13Z,RYR1TZ,"38.145508,24.136425",9900,282,32
1621755207,2021-05-23T07:33:27Z,RYR1TZ,"38.161331,24.149059",10525,290,32
1621755219,2021-05-23T07:33:39Z,RYR1TZ,"38.175442,24.160309",10725,311,32
1621755232,2021-05-23T07:33:52Z,RYR1TZ,"38.19191,24.173487",10950,332,32
1621755244,2021-05-23T07:34:04Z,RYR1TZ,"38.207657,24.186102",11400,341,32
1621755253,2021-05-23T07:34:13Z,RYR1TZ,"38.220474,24.194174",11850,341,22
1621755255,2021-05-23T07:34:15Z,RYR1TZ,"38.223343,24.195417",11925,341,19
1621755256,2021-05-23T07:34:16Z,RYR1TZ,"38.225739,24.196337",12000,342,16
1621755259,2021-05-23T07:34:19Z,RYR1TZ,"38.229069,24.197388",12100,341,13
1621755261,2021-05-23T07:34:21Z,RYR1TZ,"38.233353,24.198402",12225,342,10
1621755262,2021-05-23T07:34:22Z,RYR1TZ,"38.23489,24.198702",12275,342,9
1621755263,2021-05-23T07:34:23Z,RYR1TZ,"38.236423,24.19894",12325,342,9
1621755265,2021-05-23T07:34:25Z,RYR1TZ,"38.239079,24.199238",12425,341,6
1621755266,2021-05-23T07:34:26Z,RYR1TZ,"38.240021,24.199375",12450,341,5
1621755268,2021-05-23T07:34:28Z,RYR1TZ,"38.243641,24.199537",12575,340,3
1621755269,2021-05-23T07:34:29Z,RYR1TZ,"38.245056,24.199551",12625,341,2
1621755271,2021-05-23T07:34:31Z,RYR1TZ,"38.249039,24.199551",12775,340,3
1621755272,2021-05-23T07:34:32Z,RYR1TZ,"38.249832,24.199478",12800,340,359
1621755274,2021-05-23T07:34:34Z,RYR1TZ,"38.252953,24.199238",12925,340,357
1621755277,2021-05-23T07:34:37Z,RYR1TZ,"38.257874,24.198614",13075,339,354
1621755278,2021-05-23T07:34:38Z,RYR1TZ,"38.258743,24.198498",13125,339,354
1621755279,2021-05-23T07:34:39Z,RYR1TZ,"38.261078,24.19809",13200,340,353
1621755280,2021-05-23T07:34:40Z,RYR1TZ,"38.263367,24.197739",13275,339,352
