,Timestamp,UTC,Callsign,Altitude,Speed,Direction,Position NS,Position OW,Flightphase,Country
0,1621754943,2021-05-23 07:29:03,RYR1TZ,125,145,37,37.943665,23.962408,climb,Greece
1,1621754953,2021-05-23 07:29:13,RYR1TZ,325,161,37,37.949295,23.967785,climb,Greece
2,1621754966,2021-05-23 07:29:26,RYR1TZ,900,156,37,37.956924,23.975273,climb,Greece
3,1621754978,2021-05-23 07:29:38,RYR1TZ,1425,156,37,37.964096,23.982319,climb,Greece
4,1621754988,2021-05-23 07:29:48,RYR1TZ,1775,160,37,37.96994,23.987888,climb,Greece
5,1621754995,2021-05-23 07:29:55,RYR1TZ,2025,160,36,37.974056,23.991812,climb,Greece
6,1621755001,2021-05-23 07:30:01,RYR1TZ,2250,159,36,37.977676,23.995134,climb,Greece
7,1621755008,2021-05-23 07:30:08,RYR1TZ,2475,159,36,37.98143,23.998699,climb,Greece
8,1621755020,2021-05-23 07:30:20,RYR1TZ,2900,162,36,37.98914,24.005962,climb,Greece
9,1621755030,2021-05-23 07:30:30,RYR1TZ,3200,165,36,37.99498,24.011438,climb,Greece
10,1621755037,2021-05-23 07:30:37,RYR1TZ,3425,165,37,37.999054,24.015295,climb,Greece
11,1621755043,2021-05-23 07:30:43,RYR1TZ,3600,169,37,38.002918,24.01898,climb,Greece
12,1621755050,2021-05-23 07:30:50,RYR1TZ,3750,179,36,38.007568,24.023418,climb,Greece
13,1621755057,2021-05-23 07:30:57,RYR1TZ,3850,189,36,38.012463,24.027996,climb,Greece
14,1621755063,2021-05-23 07:31:03,RYR1TZ,3950,199,37,38.016792,24.032116,climb,Sea
15,1621755071,2021-05-23 07:31:11,RYR1TZ,4125,207,37,38.022537,24.03756,climb,Sea
16,1621755077,2021-05-23 07:31:17,RYR1TZ,4350,211,33,38.02792,24.042326,climb,Sea
17,1621755085,2021-05-23 07:31:25,RYR1TZ,4575,216,32,38.034164,24.047377,climb,Sea
18,1621755090,2021-05-23 07:31:30,RYR1TZ,4825,217,32,38.038952,24.051163,climb,Sea
19,1621755095,2021-05-23 07:31:35,RYR1TZ,5000,219,31,38.042496,24.053982,climb,Sea
20,1621755112,2021-05-23 07:31:52,RYR1TZ,5425,246,32,38.058178,24.066387,climb,Sea
21,1621755123,2021-05-23 07:32:03,RYR1TZ,5875,261,32,38.069687,24.075603,climb,Sea
22,1621755133,2021-05-23 07:32:13,RYR1TZ,6275,273,32,38.080536,24.084311,climb,Sea
23,1621755144,2021-05-23 07:32:24,RYR1TZ,6950,276,32,38.092438,24.093836,climb,Sea
24,1621755159,2021-05-23 07:32:39,RYR1TZ,7850,276,32,38.107616,24.106033,climb,Sea
25,1621755171,2021-05-23 07:32:51,RYR1TZ,8600,277,32,38.120697,24.116543,climb,Sea
26,1621755183,2021-05-23 07:33:03,RYR1TZ,9300,281,32,38.134476,24.12747,climb,Sea
27,1621755193,2021-05-23 07:33:13,RYR1TZ,9900,282,32,38.145508,24.136425,climb,Sea
28,1621755207,2021-05-23 07:33:27,RYR1TZ,10525,290,32,38.161331,24.149059,climb,Sea
29,1621755219,2021-05-23 07:33:39,RYR1TZ,10725,311,32,38.175442,24.160309,climb,Sea
30,1621755232,2021-05-23 07:33:52,RYR1TZ,10950,332,32,38.19191,24.173487,climb,Sea
31,1621755244,2021-05-23 07:34:04,RYR1TZ,11400,341,32,38.207657,24.186102,climb,Sea
32,1621755253,2021-05-23 07:34:13,RYR1TZ,11850,341,22,38.220474,24.194174,climb,Sea
33,1621755255,2021-05-23 07:34:15,RYR1TZ,11925,341,19,38.223343,24.195417,climb,Sea
34,1621755256,2021-05-23 07:34:16,RYR1TZ,12000,342,16,38.225739,24.196337,climb,Sea
35,1621755259,2021-05-23 07:34:19,RYR1TZ,12100,341,13,38.229069,24.197388,climb,Sea
36,1621755261,2021-05-23 07:34:21,RYR1TZ,12225,342,10,38.233353,24.198402,climb,Sea
37,1621755262,2021-05-23 07:34:22,RYR1TZ,12275,342,9,38.23489,24.198702,climb,Sea
38,1621755263,2021-05-23 07:34:23,RYR1TZ,12325,342,9,38.236423,24.19894,climb,Sea
39,1621755265,2021-05-23 07:34:25,RYR1TZ,12425,341,6,38.239079,24.199238,climb,Sea
40,1621755266,2021-05-23 07:34:26,RYR1TZ,12450,341,5,38.240021,24.199375,climb,Sea
41,1621755268,2021-05-23 07:34:28,RYR1TZ,12575,340,3,38.243641,24.199537,climb,Sea
42,1621755269,2021-05-23 07:34:29,RYR1TZ,12625,341,2,38.245056,24.199551,climb,Sea
43,1621755271,2021-05-23 07:34:31,RYR1TZ,12775,340,3,38.249039,24.199551,climb,Sea
44,1621755272,2021-05-23 07:34:32,RYR1TZ,12800,340,359,38.249832,24.199478,climb,Sea
45,1621755274,2021-05-23 07:34:34,RYR1TZ,12925,340,357,38.252953,24.199238,climb,Sea
46,1621755277,2021-05-23 07:34:37,RYR1TZ,13075,339,354,38.257874,24.198614,climb,Sea
47,1621755278,2021-05-23 07:34:38,RYR1TZ,13125,339,354,38.258743,24.198498,climb,Sea
48,1621755279,2021-05-23 07:34:39,RYR1TZ,13200,340,353,38.261078,24.19809,climb,Sea
49,1621755280,2021-05-23 07:34:40,RYR1TZ,13275,339,352,38.263367,24.197739,climb,Sea
50,1621755283,2021-05-23 07:34:43,RYR1TZ,13400,340,352,38.26712,24.197153,climb,Sea
51,1621755284,2021-05-23 07:34:44,RYR1TZ,13450,340,352,38.268539,24.19692,climb,Sea
52,1621755286,2021-05-23 07:34:46,RYR1TZ,13575,341,353,38.272598,24.196253,climb,Sea
