Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1621148758,2021-05-16T07:05:58Z,RYR1TZ,"37.931774,23.943209",0,1,216
1621148784,2021-05-16T07:06:24Z,RYR1TZ,"37.931984,23.943403",0,2,219
1621148817,2021-05-16T07:06:57Z,RYR1TZ,"37.932182,23.943642",0,1,185
1621149028,2021-05-16T07:10:28Z,RYR1TZ,"37.932243,23.943869",0,7,120
1621149034,2021-05-16T07:10:34Z,RYR1TZ,"37.932083,23.944147",0,10,126
1621149040,2021-05-16T07:10:40Z,RYR1TZ,"37.931877,23.944498",0,12,126
1621149051,2021-05-16T07:10:51Z,RYR1TZ,"37.931522,23.94511",0,12,126
1621149063,2021-05-16T07:11:03Z,RYR1TZ,"37.931133,23.945753",0,13,126
1621149100,2021-05-16T07:11:40Z,RYR1TZ,"37.930927,23.94796",0,9,64
1621149157,2021-05-16T07:12:37Z,RYR1TZ,"37.931858,23.951136",0,9,36
1621149170,2021-05-16T07:12:50Z,RYR1TZ,"37.933323,23.952555",0,55,36
1621149176,2021-05-16T07:12:56Z,RYR1TZ,"37.934956,23.954096",0,80,36
1621149187,2021-05-16T07:13:07Z,RYR1TZ,"37.939041,23.957968",375,118,36
1621149193,2021-05-16T07:13:13Z,RYR1TZ,"37.941971,23.960773",375,138,36
1621149199,2021-05-16T07:13:19Z,RYR1TZ,"37.945496,23.964104",400,155,36
1621149206,2021-05-16T07:13:26Z,RYR1TZ,"37.949291,23.96769",575,159,36
1621149215,2021-05-16T07:13:35Z,RYR1TZ,"37.954926,23.973003",1025,155,36
1621149221,2021-05-16T07:13:41Z,RYR1TZ,"37.958275,23.976229",1175,158,36
1621149231,2021-05-16T07:13:51Z,RYR1TZ,"37.96376,23.981401",1425,163,37
1621149238,2021-05-16T07:13:58Z,RYR1TZ,"37.968155,23.985609",1700,164,37
1621149256,2021-05-16T07:14:16Z,RYR1TZ,"37.979004,23.99601",2400,162,37
1621149263,2021-05-16T07:14:23Z,RYR1TZ,"37.982712,23.999634",2625,164,37
1621149272,2021-05-16T07:14:32Z,RYR1TZ,"37.988663,24.005302",2975,166,37
1621149278,2021-05-16T07:14:38Z,RYR1TZ,"37.99205,24.008633",3250,162,37
1621149287,2021-05-16T07:14:47Z,RYR1TZ,"37.997753,24.014023",3625,164,36
1621149294,2021-05-16T07:14:54Z,RYR1TZ,"38.001617,24.017633",3775,170,36
1621149301,2021-05-16T07:15:01Z,RYR1TZ,"38.006699,24.022425",3975,181,36
1621149309,2021-05-16T07:15:09Z,RYR1TZ,"38.012276,24.027637",4125,194,36
1621149317,2021-05-16T07:15:17Z,RYR1TZ,"38.018047,24.033131",4300,205,37
1621149323,2021-05-16T07:15:23Z,RYR1TZ,"38.022858,24.03791",4450,216,38
1621149328,2021-05-16T07:15:28Z,RYR1TZ,"38.026428,24.042086",4650,217,42
1621149332,2021-05-16T07:15:32Z,RYR1TZ,"38.029037,24.04615",4825,221,53
1621149334,2021-05-16T07:15:34Z,RYR1TZ,"38.03006,24.048237",4925,221,57
1621149346,2021-05-16T07:15:46Z,RYR1TZ,"38.034668,24.06304",5525,225,72
1621149348,2021-05-16T07:15:48Z,RYR1TZ,"38.035179,24.065075",5575,228,72
1621149349,2021-05-16T07:15:49Z,RYR1TZ,"38.035767,24.06748",5625,230,72
1621149351,2021-05-16T07:15:51Z,RYR1TZ,"38.036133,24.068941",5650,232,72
